airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-03-21,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,7242
Goair,2019-04-09,Delhi,Cochin,07:25:00,13:20:00,355,1.0,No Info,4106
Air India,2019-06-03,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6961
Air India,2019-03-15,Banglore,New Delhi,08:15:00,08:50:00,1475,1.0,No Info,5521
Indigo,2019-05-27,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,9476
Air India,2019-03-21,Banglore,New Delhi,08:15:00,18:30:00,615,1.0,No Info,4943
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,13843
Indigo,2019-05-27,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Indigo,2019-05-09,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No Info,6015
Spicejet,2019-06-18,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Air India,2019-06-24,Delhi,Cochin,13:30:00,23:00:00,570,1.0,No Info,8907
Indigo,2019-03-27,Delhi,Cochin,09:10:00,15:30:00,380,1.0,No Info,10141
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,12384
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,No Info,13941
Indigo,2019-06-01,Banglore,Delhi,16:55:00,19:45:00,170,0.0,No Info,4823
Air India,2019-05-21,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,8372
Vistara,2019-04-12,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Spicejet,2019-05-18,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,5975
Indigo,2019-03-06,Mumbai,Hyderabad,21:20:00,22:45:00,85,0.0,No Info,4784
Indigo,2019-04-09,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3943
Jet Airways,2019-06-03,Delhi,Cochin,22:50:00,12:35:00,825,1.0,No Info,14714
Vistara,2019-05-01,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,8610
Multiple Carriers,2019-05-15,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No Info,8266
Air Asia,2019-04-18,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4409
Air India,2019-06-09,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No Info,12744
Air India,2019-03-21,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5170
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Air India,2019-03-03,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,7931
Air India,2019-06-09,Kolkata,Banglore,09:25:00,05:25:00,1200,2.0,No Info,13007
Indigo,2019-05-01,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Indigo,2019-06-24,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,6093
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,10844
Multiple Carriers,2019-03-03,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,11265
Indigo,2019-06-03,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6593
Spicejet,2019-06-15,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-06-24,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,10262
Air Asia,2019-04-01,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4107
Jet Airways,2019-03-15,Banglore,New Delhi,11:40:00,18:25:00,405,1.0,In-flight meal not included,9134
Air India,2019-06-06,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No Info,8366
Air Asia,2019-04-09,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6451
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,18:15:00,1545,1.0,In-flight meal not included,8529
Indigo,2019-04-09,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4174
Indigo,2019-03-24,Kolkata,Banglore,17:15:00,20:00:00,165,0.0,No Info,6565
Air India,2019-03-09,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5831
Indigo,2019-04-24,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Air India,2019-05-21,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5510
Indigo,2019-03-09,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No Info,4148
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,In-flight meal not included,7064
Indigo,2019-03-15,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No Info,6144
Air Asia,2019-03-09,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,8327
Indigo,2019-04-12,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,4423
Indigo,2019-04-03,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Jet Airways,2019-03-15,Banglore,New Delhi,16:55:00,00:45:00,470,1.0,No Info,21934
Multiple Carriers,2019-03-21,Delhi,Cochin,06:00:00,15:30:00,570,1.0,No Info,11269
Multiple Carriers,2019-05-09,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,9627
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,In-flight meal not included,7064
Indigo,2019-05-21,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,7006
Jet Airways,2019-03-09,Delhi,Cochin,20:50:00,18:50:00,1320,1.0,In-flight meal not included,14053
Air Asia,2019-05-15,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4409
Indigo,2019-05-09,Kolkata,Banglore,17:35:00,22:15:00,280,1.0,No Info,5386
Indigo,2019-03-21,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6558
Spicejet,2019-06-18,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,3573
Indigo,2019-06-27,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,4804
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,No Info,13584
Vistara,2019-05-18,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,10368
Indigo,2019-05-15,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,6834
Indigo,2019-05-24,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Spicejet,2019-04-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,13014
Spicejet,2019-03-24,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,5418
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,No Info,11467
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,18:15:00,1545,1.0,In-flight meal not included,8586
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14781
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Air India,2019-05-24,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No Info,8576
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No Info,13067
Jet Airways,2019-03-24,Banglore,New Delhi,18:55:00,21:55:00,180,0.0,No Info,7229
Multiple Carriers,2019-06-12,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,12192
Air Asia,2019-03-24,Banglore,New Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Air India,2019-04-06,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,4729
Indigo,2019-05-15,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,10123
Air Asia,2019-04-15,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Air India,2019-05-15,Delhi,Cochin,13:30:00,08:15:00,1125,1.0,No Info,10671
Jet Airways,2019-03-21,Delhi,Cochin,20:50:00,04:25:00,455,1.0,In-flight meal not included,9212
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,19:50:00,1640,1.0,In-flight meal not included,8529
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,8586
Jet Airways,2019-06-12,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,6478
Indigo,2019-03-03,Delhi,Cochin,06:40:00,15:30:00,530,1.0,No Info,14871
Indigo,2019-05-06,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,4775
Indigo,2019-03-27,Delhi,Cochin,04:55:00,16:10:00,675,1.0,No Info,6171
Indigo,2019-06-18,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Multiple Carriers,2019-06-12,Delhi,Cochin,06:00:00,12:35:00,395,1.0,No Info,11789
Multiple Carriers,2019-06-27,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Jet Airways,2019-05-15,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,12373
Indigo,2019-03-18,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No Info,2227
Air India,2019-05-18,Kolkata,Banglore,07:00:00,20:25:00,805,1.0,No Info,11306
Jet Airways,2019-04-09,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Jet Airways,2019-06-24,Delhi,Cochin,09:35:00,04:25:00,1130,2.0,No Info,13292
Air India,2019-03-12,Banglore,New Delhi,06:45:00,20:35:00,830,1.0,No Info,12127
Air India,2019-05-15,Kolkata,Banglore,09:25:00,17:20:00,1915,2.0,No Info,13616
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,09:15:00,1160,1.0,No Info,14231
Indigo,2019-05-18,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Jet Airways,2019-06-01,Delhi,Cochin,21:25:00,12:35:00,910,2.0,No Info,13292
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,In-flight meal not included,8586
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Spicejet,2019-04-27,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3971
Multiple Carriers,2019-03-03,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,15288
Air India,2019-05-12,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,10676
Jet Airways,2019-03-09,Delhi,Cochin,00:20:00,04:25:00,1685,1.0,In-flight meal not included,11848
Jet Airways,2019-03-09,Delhi,Cochin,08:00:00,19:45:00,705,1.0,No Info,17549
Jet Airways,2019-03-21,Delhi,Cochin,19:15:00,18:50:00,1415,2.0,In-flight meal not included,8938
Indigo,2019-06-06,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No Info,3943
Spicejet,2019-04-09,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3971
Multiple Carriers,2019-06-12,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,10877
Air India,2019-03-01,Banglore,New Delhi,05:50:00,08:50:00,1620,3.0,No Info,13081
Jet Airways,2019-03-21,Banglore,New Delhi,20:35:00,11:25:00,890,1.0,In-flight meal not included,7832
Air India,2019-05-09,Kolkata,Banglore,10:00:00,23:15:00,795,1.0,No Info,10203
Air India,2019-05-09,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Multiple Carriers,2019-05-09,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13727
Jet Airways,2019-05-18,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,12373
Indigo,2019-03-03,Delhi,Cochin,05:05:00,10:05:00,300,1.0,No Info,9581
Air Asia,2019-05-12,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Jet Airways,2019-06-18,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4995
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,20:40:00,405,1.0,In-flight meal not included,11134
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Goair,2019-06-12,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No Info,7870
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,04:45:00,455,1.0,No Info,13759
Jet Airways,2019-03-09,Delhi,Cochin,06:50:00,19:45:00,775,1.0,In-flight meal not included,14053
Jet Airways,2019-05-18,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,No Info,15554
Jet Airways,2019-06-06,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,7757
Multiple Carriers,2019-06-27,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,07:40:00,1200,1.0,No Info,16736
Air India,2019-05-27,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,8425
Air India,2019-05-09,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,7174
Jet Airways,2019-05-09,Delhi,Cochin,15:00:00,04:25:00,805,1.0,In-flight meal not included,12373
Goair,2019-06-09,Delhi,Cochin,07:30:00,13:35:00,365,1.0,No Info,6276
Spicejet,2019-05-15,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,5583
Multiple Carriers,2019-03-27,Delhi,Cochin,13:05:00,22:20:00,555,1.0,No Info,6076
Air Asia,2019-04-27,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,6451
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,9663
Spicejet,2019-04-01,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No Info,6013
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,07:25:00,1495,2.0,In-flight meal not included,10118
Jet Airways,2019-05-18,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,No Info,15554
Indigo,2019-03-09,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,12351
Jet Airways,2019-05-27,Delhi,Cochin,13:25:00,04:25:00,900,2.0,No Info,16704
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No Info,14151
Multiple Carriers,2019-06-03,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,8475
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,18:25:00,760,1.0,No Info,26890
Multiple Carriers,2019-05-18,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,8476
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,In-flight meal not included,9314
Jet Airways,2019-05-01,Delhi,Cochin,19:10:00,19:00:00,1430,2.0,No Info,15129
Air India,2019-04-06,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No Info,5232
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,No Info,14388
Air India,2019-03-27,Delhi,Cochin,17:40:00,08:15:00,875,1.0,No Info,5998
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,15:15:00,435,1.0,No Info,19225
Air India,2019-05-27,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,12029
Indigo,2019-05-15,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,7191
Jet Airways,2019-06-27,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,10262
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,08:15:00,1090,1.0,In-flight meal not included,7757
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,14939
Indigo,2019-03-01,Banglore,New Delhi,20:00:00,22:55:00,175,0.0,No Info,14306
Multiple Carriers,2019-03-06,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,15077
Jet Airways,2019-03-27,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2071
Goair,2019-05-12,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3419
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No Info,13067
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,11733
Air India,2019-04-01,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,11516
Indigo,2019-04-15,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5761
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No Info,9187
Vistara,2019-05-18,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6741
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,19:50:00,845,1.0,In-flight meal not included,10844
Jet Airways,2019-03-09,Delhi,Cochin,10:45:00,04:25:00,1060,2.0,In-flight meal not included,15654
Spicejet,2019-05-12,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4423
Multiple Carriers,2019-06-06,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No Info,9646
Indigo,2019-05-15,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,4332
Vistara,2019-05-03,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Air India,2019-03-09,Delhi,Cochin,07:05:00,19:15:00,2170,2.0,No Info,11762
Indigo,2019-06-21,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4990
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14781
Jet Airways,2019-06-12,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,No Info,14714
Jet Airways,2019-06-15,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,10262
Indigo,2019-03-21,Banglore,New Delhi,11:20:00,15:25:00,245,1.0,No Info,5746
Indigo,2019-03-21,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,3858
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,14571
Air India,2019-05-18,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No Info,13801
Vistara,2019-03-09,Banglore,New Delhi,06:40:00,21:55:00,915,1.0,No Info,10008
Jet Airways,2019-06-18,Delhi,Cochin,09:50:00,13:05:00,195,0.0,In-flight meal not included,4466
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,09:20:00,1010,1.0,In-flight meal not included,8529
Indigo,2019-03-06,Delhi,Cochin,11:55:00,21:20:00,565,2.0,No Info,6610
Vistara,2019-03-21,Delhi,Cochin,14:55:00,17:50:00,175,0.0,No Info,5586
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,05:05:00,900,1.0,No Info,13555
Multiple Carriers,2019-05-27,Delhi,Cochin,14:55:00,22:30:00,455,1.0,No Info,7038
Multiple Carriers,2019-05-27,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No Info,11573
Spicejet,2019-04-15,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Jet Airways,2019-06-03,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No Info,14924
Multiple Carriers,2019-03-27,Delhi,Cochin,07:10:00,22:20:00,910,1.0,No Info,6145
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Air India,2019-05-18,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,13696
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,14781
Vistara,2019-05-21,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,08:10:00,660,1.0,In-flight meal not included,11134
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No Info,13584
Indigo,2019-03-15,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,6297
Goair,2019-04-18,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,5048
Multiple Carriers,2019-03-21,Delhi,Cochin,09:10:00,19:15:00,605,1.0,No Info,8601
Vistara,2019-05-27,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Indigo,2019-04-09,Kolkata,Banglore,19:35:00,00:10:00,275,1.0,No Info,4860
Indigo,2019-04-24,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4804
Jet Airways,2019-06-01,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13014
Jet Airways,2019-06-01,Delhi,Cochin,09:35:00,04:25:00,1130,2.0,No Info,13292
Spicejet,2019-06-06,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,17267
Indigo,2019-06-03,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No Info,3943
Air India,2019-05-15,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,11281
Air India,2019-05-24,Kolkata,Banglore,09:50:00,08:55:00,1385,2.0,No Info,15170
Jet Airways,2019-04-27,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Multiple Carriers,2019-06-09,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
Vistara,2019-06-12,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,9794
Air India,2019-05-24,Kolkata,Banglore,09:25:00,05:25:00,1200,2.0,No Info,14897
Jet Airways,2019-04-06,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Indigo,2019-06-03,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Spicejet,2019-05-18,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Indigo,2019-03-21,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No Info,4777
Jet Airways,2019-06-15,Delhi,Cochin,18:20:00,12:35:00,1095,2.0,No Info,14300
Jet Airways,2019-03-03,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,No Info,17024
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,09:00:00,610,1.0,In-flight meal not included,11087
Air Asia,2019-04-06,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,3383
Air India,2019-06-09,Delhi,Cochin,20:00:00,07:40:00,700,1.0,No Info,8372
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,No Info,13067
Indigo,2019-03-06,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Vistara,2019-06-27,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4878
Indigo,2019-06-24,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Jet Airways,2019-06-21,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,In-flight meal not included,9663
Air India,2019-04-01,Kolkata,Banglore,16:45:00,23:15:00,1830,3.0,No Info,8607
Air India,2019-06-12,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No Info,11753
Indigo,2019-03-15,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No Info,4778
Jet Airways,2019-03-21,Delhi,Cochin,05:40:00,04:25:00,1365,2.0,No Info,11543
Air India,2019-06-12,Delhi,Cochin,09:45:00,08:15:00,1350,1.0,No Info,8991
Jet Airways,2019-05-27,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Jet Airways,2019-03-24,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,No Info,5678
Air India,2019-04-03,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Jet Airways,2019-05-09,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,No Info,15554
Air India,2019-03-09,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,7817
Spicejet,2019-06-21,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Indigo,2019-05-21,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,7255
Indigo,2019-05-27,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6600
Indigo,2019-04-12,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,5780
Jet Airways,2019-06-15,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,In-flight meal not included,10919
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,08:15:00,945,1.0,In-flight meal not included,8586
Jet Airways,2019-04-01,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Jet Airways,2019-04-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,3205
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,18:25:00,1170,1.0,In-flight meal not included,11087
Indigo,2019-04-27,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6015
Jet Airways,2019-03-21,Delhi,Cochin,07:05:00,18:50:00,705,1.0,No Info,12767
Indigo,2019-03-03,Delhi,Cochin,10:45:00,01:35:00,890,1.0,No Info,14871
